word|jlpt_level|source
実|N4|bunpro
寮|N4|bunpro
専攻|N4|bunpro
将棋|N4|bunpro
少々|N4|bunpro
就職|N4|bunpro
尻|N4|bunpro
平和|N4|bunpro
年間|N4|bunpro
広告|N4|bunpro
床屋|N4|bunpro
底|N4|bunpro
座談会|N4|bunpro
延期|N4|bunpro
引退|N4|bunpro
影響|N4|bunpro
役|N4|bunpro
待ち遠しい|N4|bunpro-o
後輩|N4|bunpro
得意|N4|bunpro
徹夜|N4|bunpro
思い出|N4|bunpro-o
怪我|N4|bunpro
恥|N4|bunpro
悪口|N4|bunpro
情報|N4|bunpro
意外|N4|bunpro
愛|N4|bunpro
感動|N4|bunpro
感情|N4|bunpro
成人|N4|bunpro
成功|N4|bunpro
我慢|N4|bunpro
或|N4|bunpro
扇子|N4|bunpro
括弧|N4|bunpro
挨拶|N4|bunpro
掏摸|N4|waller
握手|N4|bunpro
携帯|N4|bunpro
支店|N4|bunpro
放っておく|N4|bunpro-o
政府|N4|bunpro
敬語|N4|bunpro
数|N4|bunpro
文句|N4|bunpro
文字|N4|bunpro
料|N4|bunpro
料金|N4|bunpro
旅|N4|bunpro
是非|N4|bunpro
昼寝|N4|bunpro
昼食|N4|bunpro
時間通り|N4|bunpro-o
曜日|N4|bunpro
書類|N4|bunpro
最も|N4|waller
有料|N4|bunpro
朝寝坊|N4|bunpro
期間|N4|bunpro
期限|N4|bunpro
未来|N4|bunpro
未満|N4|bunpro
桜|N4|bunpro
梯子|N4|bunpro
楽器|N4|bunpro
様子|N4|bunpro
正|N4|bunpro
治す|N4|bunpro-o
波|N4|bunpro
注文|N4|bunpro
注目|N4|bunpro
活動|N4|bunpro
熱心|N4|bunpro
父親|N4|bunpro-o
物価|N4|bunpro
犯人|N4|bunpro
猿|N4|bunpro
王子|N4|bunpro-o
現場|N4|bunpro
現金|N4|bunpro
理想|N4|bunpro
環境|N4|bunpro
生理|N4|bunpro
田|N4|bunpro
畑|N4|bunpro
留守番|N4|bunpro
発表|N4|bunpro
発車|N4|bunpro
登場|N4|bunpro
登山|N4|bunpro
皿|N4|bunpro
盆踊り|N4|bunpro-o
目標|N4|bunpro
目的|N4|bunpro
相手|N4|bunpro
県|N4|bunpro
真ん中|N4|waller
硬い|N4|waller
確認|N4|bunpro
礼|N4|bunpro
秘密|N4|bunpro
移動|N4|bunpro
程|N4|waller
税金|N4|bunpro
種類|N4|bunpro
積もり|N4|waller
突然|N4|bunpro
立場|N4|bunpro
竹|N4|bunpro
筈|N4|waller
管理|N4|bunpro
紅葉|N4|bunpro
結果|N4|bunpro
給料|N4|bunpro
絶対|N4|bunpro
編|N4|bunpro
縦|N4|bunpro
美|N4|bunpro
耳鼻科|N4|bunpro
能力|N4|bunpro
自動|N4|bunpro
芸術|N4|bunpro
落ち込む|N4|bunpro-o
蕎麦|N4|bunpro
虫歯|N4|bunpro
蚊|N4|bunpro
行動|N4|bunpro
表情|N4|bunpro
複数|N4|bunpro
親友|N4|bunpro
親戚|N4|bunpro
観光|N4|bunpro
言語|N4|bunpro
記号|N4|bunpro
記念|N4|bunpro
記憶|N4|bunpro-o
詩|N4|bunpro
誠|N4|bunpro
調査|N4|bunpro
諺|N4|bunpro
象|N4|bunpro
貧乏|N4|bunpro
貯金|N4|bunpro
賛成|N4|bunpro
起こす|N4|bunpro-o
起こる|N4|bunpro-o
迷信|N4|bunpro
通|N4|bunpro
通信|N4|bunpro
通帳|N4|bunpro
通用|N4|bunpro
運|N4|bunpro
適用|N4|bunpro
邪魔|N4|bunpro
部下|N4|bunpro
重|N4|bunpro
金持ち|N4|waller
金額|N4|bunpro
銃|N4|bunpro
鍋|N4|bunpro
関東|N4|bunpro
関西|N4|bunpro
陰|N4|bunpro
階|N4|bunpro
随分|N4|bunpro
離婚|N4|bunpro
電子|N4|bunpro
電池|N4|bunpro
非常|N4|bunpro
面接|N4|bunpro
頂|N4|bunpro
預金|N4|bunpro
顔が青い|N4|bunpro-o
顔文字|N4|bunpro-o
餌|N4|bunpro
首相|N4|bunpro
馬鹿|N4|bunpro
駄目|N4|bunpro
髭|N4|bunpro
あくび|N3|bunpro
あれこれ|N3|bunpro
い|N3|waller
いよいよ|N3|bunpro
うっかり|N3|bunpro
うどん|N3|bunpro
うろうろ|N3|bunpro
お代わり|N3|bunpro-o
お先に|N3|bunpro-o
お喋り|N3|bunpro-o
お待たせしました|N3|bunpro-o
お待ち遠様|N3|bunpro-o
お手伝いさん|N3|bunpro-o
お掛け下さい|N3|bunpro-o
お構いなく|N3|bunpro-o
お目にかかる|N3|bunpro-o
お目出度う|N3|waller
お邪魔します|N3|bunpro-o
からかう|N3|bunpro
ぎっしり|N3|bunpro
くれぐれも|N3|bunpro
こうして|N3|bunpro
こしらえる|N3|bunpro
こちらこそ|N3|bunpro
こっそり|N3|bunpro
ご無沙汰|N3|bunpro
しつこい|N3|bunpro
しみじみ|N3|bunpro
しゃがむ|N3|bunpro
しゃっくり|N3|bunpro
しゃぶる|N3|bunpro
じゃん拳|N3|bunpro
す|N3|waller
すっきり|N3|bunpro
ずらり|N3|bunpro
ずれる|N3|bunpro
せっせと|N3|bunpro
せめて|N3|bunpro
そそっかしい|N3|bunpro
その上|N3|bunpro
その内|N3|bunpro
それなのに|N3|bunpro
た|N3|waller
たった|N3|waller
ためらう|N3|bunpro
でたらめ|N3|bunpro
ともかく|N3|bunpro
どうせ|N3|bunpro
どっと|N3|bunpro
ねじ|N3|bunpro
のろのろ|N3|bunpro
はきはき|N3|bunpro
ぴかぴか|N3|bunpro
ふざける|N3|bunpro
ぶつぶつ|N3|bunpro
へそ|N3|bunpro
へる|N3|waller
ぼろ|N3|bunpro
まごまご|N3|bunpro
まぶた|N3|bunpro
めっきり|N3|bunpro
もしかしたら|N3|bunpro
もしかすると|N3|bunpro
もたれる|N3|bunpro
アクセント|N3|bunpro
アンテナ|N3|bunpro
イコール|N3|bunpro
インタビュー|N3|bunpro
ウーマン|N3|bunpro
ウール|N3|bunpro
エチケット|N3|bunpro
エプロン|N3|bunpro
オイル|N3|bunpro
オルガン|N3|bunpro
オーケストラ|N3|bunpro
オーバーコート|N3|bunpro
カセット|N3|bunpro
カバー|N3|bunpro
カロリー|N3|bunpro
カーブ|N3|bunpro
ガム|N3|bunpro
キャンパス|N3|bunpro
ギャング|N3|bunpro
クリーニング|N3|bunpro
クーラー|N3|bunpro
コック|N3|bunpro
コンクリート|N3|bunpro
コンクール|N3|bunpro
コーラス|N3|bunpro
ゴム|N3|bunpro
サイレン|N3|bunpro
サンプル|N3|bunpro
シャッター|N3|bunpro
シーズン|N3|bunpro
シーツ|N3|bunpro
スケジュール|N3|bunpro
スタート|N3|bunpro
スチュワーデス|N3|bunpro
ステージ|N3|bunpro
ストッキング|N3|bunpro
スピーカー|N3|bunpro
スマート|N3|bunpro
スライド|N3|bunpro
セメント|N3|bunpro
ゼミ|N3|bunpro
タイヤ|N3|bunpro
ダイヤモンド|N3|bunpro
ダイヤル|N3|bunpro
ダム|N3|bunpro
チョーク|N3|bunpro
テニスコート|N3|bunpro
テンポ|N3|bunpro
テーマ|N3|bunpro
トレーニング|N3|bunpro
ナイロン|N3|bunpro
ナンバー|N3|bunpro
ネックレス|N3|bunpro
ハンドル|N3|bunpro
バケツ|N3|bunpro
バック|N3|bunpro
バランス|N3|bunpro
パターン|N3|bunpro
パンツ|N3|bunpro
ビタミン|N3|bunpro
ビニール|N3|bunpro
ビルディング|N3|bunpro
ピストル|N3|bunpro
ファスナー|N3|bunpro
フライパン|N3|bunpro
ブラウス|N3|bunpro
ブローチ|N3|bunpro
プラスチック|N3|bunpro
プラットホーム|N3|bunpro
プリント|N3|bunpro
プログラム|N3|bunpro
ヘリコプター|N3|bunpro
ベテラン|N3|bunpro
ペンチ|N3|bunpro
ボーナス|N3|bunpro
マイナス|N3|bunpro
マスク|N3|bunpro
マラソン|N3|bunpro
ミシン|N3|bunpro
モダン|N3|bunpro
モデル|N3|bunpro
モノレール|N3|bunpro
モーター|N3|bunpro
ラッシュアワー|N3|bunpro
ランチ|N3|bunpro
ランニング|N3|bunpro
リズム|N3|bunpro
リボン|N3|bunpro
レインコート|N3|bunpro
レクリエーション|N3|bunpro
レジャー|N3|bunpro
レベル|N3|bunpro
レンズ|N3|bunpro
ロッカー|N3|bunpro
ロビー|N3|bunpro
ローマ字|N3|bunpro
ワンピース|N3|bunpro
一定|N3|bunpro
一応|N3|bunpro-o
一斉|N3|bunpro
一旦|N3|bunpro
一昨昨日|N3|bunpro-o
一流|N3|bunpro
万歳|N3|bunpro
三日月|N3|bunpro
上下|N3|bunpro
上旬|N3|bunpro
下品|N3|bunpro
下旬|N3|bunpro
下線|N3|bunpro
下車|N3|bunpro
不図|N3|waller
不規則|N3|bunpro
世|N3|bunpro
両側|N3|bunpro
並行|N3|bunpro
中年|N3|bunpro
中旬|N3|bunpro
中身|N3|bunpro
中間|N3|bunpro
主役|N3|bunpro
乱暴|N3|bunpro
予備|N3|bunpro
井戸|N3|bunpro
交差|N3|bunpro
交流|N3|bunpro
仕様|N3|bunpro
仕舞う|N3|waller
付属|N3|bunpro
付近|N3|bunpro
以後|N3|bunpro
仮名|N3|bunpro
仲直り|N3|bunpro-o
休業|N3|bunpro
会談|N3|bunpro
会館|N3|bunpro
低下|N3|bunpro
体制|N3|bunpro
体系|N3|bunpro
何時か|N3|waller
何時も|N3|waller
余所|N3|bunpro
余計|N3|bunpro
作成|N3|bunpro
作者|N3|bunpro
作製|N3|bunpro
例え|N3|waller
例外|N3|bunpro
便所|N3|bunpro
便箋|N3|bunpro
俄|N3|bunpro
倉庫|N3|bunpro
個体|N3|bunpro
停止|N3|bunpro
停車|N3|bunpro
停電|N3|bunpro
催し|N3|bunpro-o
傾|N3|bunpro
僅|N3|bunpro
儀式|N3|bunpro
元々|N3|bunpro
先々月|N3|bunpro
先先週|N3|bunpro
先端|N3|bunpro
先頭|N3|bunpro
光線|N3|bunpro
免税|N3|bunpro
児童|N3|bunpro
入社|N3|bunpro
全般|N3|bunpro
全身|N3|bunpro
公共|N3|bunpro
公害|N3|bunpro
公式|N3|bunpro
公演|N3|bunpro
公表|N3|bunpro
共|N3|bunpro
円周|N3|bunpro
再|N3|bunpro
再三|N3|bunpro
冠|N3|bunpro
冷凍|N3|bunpro
凡そ|N3|bunpro-o
分数|N3|bunpro
列島|N3|bunpro
判事|N3|bunpro
判子|N3|bunpro
別荘|N3|bunpro
利害|N3|bunpro
制作|N3|bunpro
刺身|N3|bunpro
剃刀|N3|bunpro
副詞|N3|bunpro
割引|N3|bunpro
功績|N3|bunpro
加速|N3|bunpro
助教授|N3|bunpro
動作|N3|bunpro
勝負|N3|bunpro
匂う|N3|bunpro-o
包帯|N3|bunpro
包装|N3|bunpro
北極|N3|bunpro
区域|N3|bunpro
半島|N3|bunpro
半径|N3|bunpro
