word|reading|jlpt_level|jlpt_level_raw|tags
体調を崩す|たいちょうをくずす||NA10|exp v5s
悪し様に|あしざまに||NA8|exp adv
旗頭|はたがしら||NA11|n
雛人形|ひなにんぎょう||NA11|n
大和撫子|やまとなでしこ||NA8|n
配備|はいび||NA11|n vs vt
争えない|あらそえない||NA16|adj-i
口論|こうろん|N1|N1|n vs vt vi
悶着|もんちゃく||NA10|n vs vi
落とし前|おとしまえ||NA10|n
英気|えいき||NA13|n
欠かせない|かかせない||NA13|exp adj-i
渡り合う|わたりあう||NA13|v5u vi
耳打ち|みみうち||NA14|n vs vt
誇示|こじ||NA14|n vs vt
罵倒|ばとう||NA14|n vs vt
げんなり|げんなり||NA12|vs adv adv-to
顰蹙を買う|ひんしゅくをかう||NA12|exp v5u
遣わす|つかわす||NA13|v5s vt aux-v
揃う|そろう|N3|N3|v5u vi
散らす|ちらす|N2|N2|v5s vt suf
争う|あらそう|N2|N2|v5u vi
夕顔|ゆうがお||NA14|n
法学|ほうがく|N2|N2|n
示す|しめす|N3|N3|v5s vt
ひそひそ|ひそひそ|N1|N1|adv adv-to
使い捨て|つかいすて||NA15|adj-no n
飾り付ける|かざりつける||NA15|v1 vt
性癖|せいへき||NA15|n
揉め事|もめごと||NA15|n
一悶着|ひともんちゃく||NA16|n
原付|げんつき||NA16|n
オンパレード|オンパレード||NA17|n
雛|ひな||NA19|n
不釣合い|ふつりあい||NA19|n adj-na
置き忘れる|おきわすれる||NA19|v1 vt
からっと|からっと||NA19|adv vs
燻る|くすぶる||NA20|v5r vi
こりこり|こりこり||NA6|adv adv-to vs
質|たち||NA13|n
シャキッと|シャキッと||NA19|adv vs
決着を付ける|けっちゃくをつける||NA14|exp v1
送る|おくる|N5|N5|v5r vt
必要|ひつよう|N5|N5|adj-na n
大切|たいせつ|N5|N5|adj-na
しゃきしゃき|しゃきしゃき|N1|N1|adv adv-to vs
投棄|とうき||NA13|n vs vt
マスト|マスト||NA18|adj-na n
ぼそぼそ|ぼそぼそ||NA4|adv adv-to vs adj-na
片付く|かたづく|N2|N2|v5k vi
きりっと|きりっと||NA10|adv vs
性分|しょうぶん||NA13|n
ＩＳＰ|アイ・エス・ピー||NUNCLASSIFIED|n
口喧嘩|くちげんか||NA20|n vs vi
捌く|さばく||NA6|v5k vt
挫く|くじく||NA4|v5k vt
晴らす|はらす||NA3|v5s vt
追い払う|おいはらう||NA20|v5u vt
誤字|ごじ||NA5|n
見間違う|みまちがう||NA18|v5u vt
気質|きしつ|N2|N2|n n-suf
気立て|きだて|N2|N2|n
パリパリ|パリパリ||NA19|adj-na adv n
騒動|そうどう|N2|N2|n vs vi
北半球|きたはんきゅう||NA1|n
さくっ|さくっ|N1|N1|adv-to
散々|さんざん||NA1|adj-na adv
必要不可欠|ひつようふかけつ||NA1|adj-na adj-no
吹き飛ばす|ふきとばす||NA2|v5s vt
丸出し|まるだし||NA3|adj-no n
取り計らう|とりはからう||NA3|v5u vt
争うべからざる|あらそうべからざる||NA3|exp adj-pn
繰り出す|くりだす||NA4|v5s vt vi
挫ける|くじける||NA4|v1 vi
利かせる|きかせる||NA4|v1 vt
ぼそっと|ぼそっと||NA7|adv vs
解き明かす|ときあかす||NA8|v5s vt
気に食わない|きにくわない||NA10|exp adj-i
拭う|ぬぐう||NA10|v5u vt
無くもがな|なくもがな||NA10|exp adj-no
しょんぼり|しょんぼり||NA11|adv adv-to vs
淡々|たんたん||NA11|adj-t adv-to
不均衡|ふきんこう||NA11|adj-na n
を巡って|をめぐって||NA12|exp
吹っ飛ばす|ふっとばす||NA12|v5s vt
呈する|ていする||NA12|vs-s vt
売り飛ばす|うりとばす||NA12|v5s vt
虫の息|むしのいき||NA13|exp n
散り散り|ちりぢり||NA15|adj-na n
ボソリ|ボソリ||NA16|adv-to
小馬鹿にする|こばかにする||NA16|exp vs-i
見せつける|みせつける||NA18|v1 vt
論じる|ろんじる||NA20|v1 vt
気|き|N4|N4|n
整理|せいり|N3|N3|n vs vt
意地|いじ|N2|N2|n adj-no
派遣|はけん|N2|N2|n vs vt
捌き|さばき||NA9|n n-suf
処分|しょぶん|N1|N1|n vs vt
性根|しょうね||NA7|n
疎開|そかい||NA6|n vs vt vi
展示|てんじ|N1|N1|n vs vt
雛|ひよこ|N1|N1|n
ミスプリント|ミスプリント|N1|N1|n
